,Corr,p-value
handler,-0.03466884246652823,3.782099143384281e-53
admin,-0.034488932770963404,1.2871971376829607e-52
outbound,-0.03343484527098499,1.4819790665209132e-49
hgv,-0.03331743524660291,3.2060628524618172e-49
speaking,-0.03317672416949539,8.0550624928383e-49
cook,-0.03249511644590921,6.612199818738623e-47
negotiator,-0.03168714055409136,1.0925197368502192e-44
representative,-0.031084655316272854,4.532399510957566e-43
account,-0.030722673916652864,4.107446787256305e-42
cover,-0.03048492286640836,1.72284316160841e-41
setter,-0.030174887642999255,1.0990818457138934e-40
call,-0.03009803935527268,1.7348052441834832e-40
inbound,-0.029937557157505276,4.483113892228047e-40
teacher,-0.029802119960601572,9.950869495567689e-40
deputy,-0.029650316522088282,2.421799985936867e-39
aa,-0.029411880139009673,9.703226254547287e-39
tip,-0.029232303474929146,2.739757604466746e-38
rmn,-0.02909228639533606,6.127792486802309e-38
catering,-0.029071105986913814,6.918981681408206e-38
payroll,-0.028818236661674032,2.9291195789200706e-37
apprenticeship,-0.028559476870386714,1.2659623105058709e-36
agent,-0.02841183909362202,2.9011745718210686e-36
trade,-0.028364534539481127,3.7807649763952385e-36
demi,-0.028308200366387364,5.1795351850612246e-36
fundraiser,-0.028239573991155852,7.593975560137424e-36
bar,-0.028198853717837334,9.525428293198161e-36
hour,-0.02814247203853936,1.3029249434234446e-35
carer,-0.02800493286654242,2.7902126166095803e-35
telephone,-0.02740473037102123,7.414703107522408e-34
registered,-0.02723657139273517,1.8353271819095728e-33
fitter,-0.027138689502596982,3.102623401918287e-33
1st,-0.027117717550162894,3.471184106972997e-33
shop,-0.0270991081517403,3.8344526384109896e-33
vehicle,-0.026708145079889552,3.055279824351649e-32
domestic,-0.026658906869711847,3.959589217489535e-32
machinist,-0.026371311175727535,1.7833304414448187e-31
room,-0.026231689948529695,3.6813509939265053e-31
german,-0.026211434901553584,4.0882282427953445e-31
job,-0.026192958413739253,4.498161497319721e-31
nvq,-0.026085629625086617,7.8258997552469855e-31
letting,-0.025997785709852336,1.2292695760738445e-30
welder,-0.02588653090285748,2.173142542528336e-30
school,-0.025874485802202217,2.3110791840263633e-30
warehouse,-0.02577849932425612,3.7701494280308696e-30
lgv,-0.02575947358792427,4.153315100073335e-30
event,-0.025697600765772,5.6870597609762644e-30
helpdesk,-0.025504140774615654,1.5120850163947617e-29
parttime,-0.025438442725731272,2.1041578970796456e-29
pastry,-0.025236107253679783,5.790821156429581e-29
food,-0.025010400369688556,1.7746071607035218e-28
resourcer,-0.024737964750514534,6.76738622562894e-28
cscs,-0.024595785750728953,1.3530347419520082e-27
claim,-0.024527535957721846,1.8842412608807657e-27
paralegal,-0.024340232110304158,4.654066505077723e-27
telemarketing,-0.024216939414173418,8.408273222563673e-27
reservation,-0.02406816775425005,1.7098398451604542e-26
sen,-0.023887575756394525,4.0236683266826505e-26
temp,-0.02360303228345917,1.5298072180284284e-25
porter,-0.023520464339280907,2.2473135149313744e-25
housekeeper,-0.023260834750792207,7.466524993354922e-25
pub,-0.02309798964871261,1.5750050674990032e-24
personal,-0.023076987120927865,1.7335131373453766e-24
star,-0.023054409960954356,1.9215561518153e-24
collection,-0.02280755157923754,5.886799874603333e-24
charity,-0.022677329987090666,1.0575458851088668e-23
member,-0.02266692700569821,1.1080574757520759e-23
picker,-0.022380755926720324,3.9663418001288415e-23
machine,-0.022241869444664972,7.322977862903283e-23
domiciliary,-0.022225672183134898,7.863900847646309e-23
flt,-0.02208970242717919,1.427517612860829e-22
centre,-0.02204312850667408,1.7495215060122513e-22
collector,-0.02192311515151814,2.94922865666773e-22
female,-0.021870753623960935,3.700628510237568e-22
order,-0.021829209404770917,4.429097388339502e-22
nanny,-0.021813163416238415,4.746989280040225e-22
interviewer,-0.021756796556081145,6.053311987151522e-22
clerical,-0.021670697345636217,8.764747035879786e-22
primary,-0.02160120757182437,1.1803760818112017e-21
entry,-0.02151646238309463,1.6948538670374722e-21
desk,-0.02141192904971588,2.6429945066292157e-21
casual,-0.0213368474869736,3.631828722876854e-21
french,-0.02123724118061306,5.5272283482636805e-21
ta,-0.021170731343872838,7.308418833906268e-21
fabricator,-0.021124153018207997,8.883045120265138e-21
maintenance,-0.021119049768458208,9.074755565747664e-21
caretaker,-0.020962985678545404,1.7392346230040967e-20
tonne,-0.02089018652946823,2.352041568323738e-20
surrounding,-0.0208583479736571,2.6830900484701588e-20
administrative,-0.020804680642635534,3.348438945749276e-20
forklift,-0.02077735598933571,3.747424926100351e-20
turner,-0.02075380965067131,4.1286942784513893e-20
car,-0.020659200907503762,6.087204082219033e-20
learning,-0.020415559512105455,1.641154298571937e-19
miller,-0.020325703781510808,2.3590835390814527e-19
evening,-0.020166602738069916,4.468035811352662e-19
community,-0.02010051607924586,5.8170732278491835e-19
telemarketer,-0.020081105129821634,6.284799414271739e-19
hospitality,-0.020047023099755062,7.197589558426896e-19
asbestos,-0.019989419518832374,9.047052554177538e-19
park,-0.019821920990727694,1.7527579386133536e-18
optical,-0.019782309015388334,2.0478623106612578e-18
payable,-0.019720961982913766,2.6043511329627812e-18
field,-0.019680694229210857,3.0482746098013983e-18
experienced,-0.019670064654119062,3.1774231352690232e-18
studentship,-0.01964487454252675,3.505447285650132e-18
guard,-0.019620976182073376,3.847463095058538e-18
bookkeeper,-0.019600185134869174,4.1716656688573945e-18
waiting,-0.019575874148960455,4.5850788941165284e-18
venue,-0.019348298169278466,1.1043042137141995e-17
skilled,-0.019208185562569938,1.8877822512170388e-17
assembly,-0.019170008191640688,2.1833107833061777e-17
electrician,-0.01912293037823382,2.6111761143749573e-17
beverage,-0.018989550211475015,4.325354806028755e-17
credit,-0.018929254206885845,5.427707582421119e-17
pa,-0.0189244136436317,5.5273680026119406e-17
inspector,-0.018914667327780067,5.733538093169145e-17
sewing,-0.018839655686568917,7.595595535401422e-17
production,-0.018664718577961738,1.4573709080683612e-16
truck,-0.01864829598405967,1.5488384847298463e-16
legal,-0.018634381253599338,1.630750214166339e-16
appointment,-0.018606803307621017,1.8059156937998484e-16
assembler,-0.01860061927985887,1.847671265688299e-16
vere,-0.018565818487109368,2.1010220319283173e-16
crb,-0.01848771410123637,2.8009613764119975e-16
cashier,-0.018389193091989196,4.0187972145516747e-16
b2b,-0.01838560741114732,4.0718059554583735e-16
attendant,-0.018380484972079992,4.1487305888628727e-16
semi,-0.01826210570666496,6.384735916613722e-16
packer,-0.017974792297261018,1.797482019741137e-15
activity,-0.01790519807244608,2.304132876664202e-15
cdp,-0.017838129494007197,2.9245047679769915e-15
van,-0.01782226037343635,3.0938333285984803e-15
ce,-0.017806268033392605,3.2742356405578234e-15
full,-0.017747149351850525,4.035620898155565e-15
level,-0.01773914956405453,4.15121023727742e-15
maternity,-0.017655520645939404,5.572676185861167e-15
gastro,-0.017544599237445852,8.218358805075944e-15
generator,-0.017437519927193387,1.1931190070057312e-14
norwegian,-0.017369910513797646,1.5080332385083985e-14
dutch,-0.017348810844116335,1.6221076636322767e-14
dispenser,-0.01732823826108605,1.7414916841944845e-14
counter,-0.017311202594907177,1.8468595176064855e-14
fork,-0.01725823387984168,2.2161745514897555e-14
cafe,-0.017209518188139934,2.619447628583633e-14
reception,-0.01711553332195455,3.611792045919387e-14
carers,-0.01707315643951953,4.172398618022372e-14
waiter,-0.017072256078636466,4.185193404449885e-14
tutor,-0.01686327879238014,8.482358194999109e-14
early,-0.01668666332609392,1.5309322549319056e-13
membership,-0.016666486661920745,1.6371391085858006e-13
fresh,-0.016648551965182796,1.7375999619415385e-13
processor,-0.016611466575389394,1.9649272309991127e-13
mechanic,-0.016575154180880965,2.2157391795827468e-13
duty,-0.016485093206457545,2.9815244681776277e-13
club,-0.016389349982340623,4.08082434354367e-13
weekend,-0.016107062917991976,1.0190064005624342e-12
stylist,-0.016030746795316315,1.3015996910943066e-12
2nd,-0.016011100066781126,1.3860040914607499e-12
dispensing,-0.015962337392820422,1.619388012596174e-12
week,-0.015856873412197388,2.263847795796237e-12
michelin,-0.015726423419843514,3.416080437185959e-12
gardener,-0.01571035584495959,3.5928405457707336e-12
panel,-0.015693349556303166,3.7896957366992074e-12
typist,-0.015518289091405894,6.541421158701789e-12
counterbalance,-0.015486702192428507,7.2139765070065e-12
english,-0.015326850831076023,1.1802928474751534e-11
groundworker,-0.015319758976839737,1.2062194740018354e-11
aid,-0.015316148256014432,1.2196331474058223e-11
hca,-0.015225741005348254,1.607429205548346e-11
needed,-0.015220531165028754,1.633129498906231e-11
hearing,-0.01520039523547886,1.7362980883240323e-11
secondary,-0.015129673255316582,2.151762766569811e-11
housekeeping,-0.01509713872858277,2.374191244103619e-11
skill,-0.015079814876872391,2.5016568938507524e-11
childcare,-0.015062781799685846,2.6335051585862552e-11
leisure,-0.01506223651001185,2.637836553643551e-11
dog,-0.014911938866565812,4.140200819296168e-11
mate,-0.014818189925235186,5.472457525708901e-11
instructor,-0.014810923328018276,5.59169076029116e-11
line,-0.014709026912370686,7.556860440058074e-11
painter,-0.01470087277476962,7.740535092295757e-11
multi,-0.014652724338995688,8.917487195915361e-11
waking,-0.014652536888553523,8.922394808886676e-11
maker,-0.014632889479848792,9.451693971140324e-11
press,-0.014630685489373447,9.512950554431722e-11
dumper,-0.014550906979818368,1.2011507923193307e-10
seasonal,-0.014540687231379707,1.2374670433725397e-10
keeper,-0.014537103197729483,1.250455479853569e-10
help,-0.014516702507272543,1.3269642668466547e-10
joiner,-0.014503397527938474,1.379307177702054e-10
fitness,-0.014404385281826223,1.8375214289521637e-10
math,-0.014381108768483763,1.9651651644878978e-10
lab,-0.014351224572193096,2.141802059105561e-10
branded,-0.014334884178242087,2.2448486764568763e-10
cpcs,-0.014293452172863588,2.528322333127741e-10
male,-0.014255114922332418,2.821583478588065e-10
sea,-0.014240220548555133,2.9442618977984544e-10
barchester,-0.014207473473395281,3.2325838776142917e-10
drop,-0.014185974445623358,3.43667452152343e-10
breakfast,-0.01414011923355875,3.9148998834668704e-10
optician,-0.01411666476841783,4.184025033563474e-10
rnld,-0.014100026968286833,4.3857966214815464e-10
dining,-0.014058161274106678,4.936459242462795e-10
host,-0.014036130578772819,5.252759897173421e-10
speaker,-0.014010181363282963,5.650738116298298e-10
debt,-0.013965732781092598,6.401834007720652e-10
reach,-0.013952444436134716,6.644708103141714e-10
birmingham,-0.013947018623486811,6.746441044524986e-10
livein,-0.013906005791232091,7.566150413844103e-10
good,-0.013841352547618447,9.059345915030157e-10
sprayer,-0.013792585484640765,1.0372146844872114e-09
internship,-0.013752179754152409,1.1598826558003883e-09
mig,-0.0137352789892882,1.2152879957471984e-09
mot,-0.013685671689812154,1.3932358060515904e-09
concession,-0.013681640419735058,1.408764080262969e-09
researcher,-0.013647646179093816,1.5465938509347916e-09
trainer,-0.013599825638048627,1.7629484005313234e-09
multidrop,-0.013593890663467773,1.7917756045698755e-09
toolmaker,-0.013573476111544535,1.894482569246298e-09
wanted,-0.01354515583867982,2.0465137888055313e-09
morning,-0.013543398849011935,2.056327642145958e-09
straight,-0.01353757879452209,2.0891647561683203e-09
intern,-0.013534615660941055,2.106078624193596e-09
wokefield,-0.013496150340521651,2.33812372962705e-09
spa,-0.013417639308269808,2.8915924016677474e-09
ground,-0.013385874545010796,3.1500903981655127e-09
refuse,-0.01336534409978108,3.3289920922727893e-09
lifeguard,-0.013172289551093987,5.574238343388089e-09
person,-0.01314191601559951,6.041242451896923e-09
housing,-0.013131027375509311,6.217754551303965e-09
workshop,-0.013100980728424284,6.7312521052343585e-09
showroom,-0.013096547250990308,6.81043005354544e-09
lds,-0.01309305031732022,6.873520444630378e-09
belfast,-0.013021877794746624,8.288305769929031e-09
danish,-0.012980018633827136,9.248626346094113e-09
photocopier,-0.012979699833806676,9.256339738360168e-09
conveyancing,-0.012976411609872559,9.336264359154599e-09
lift,-0.012969953557478955,9.495193060686991e-09
transport,-0.012950913405139285,9.979218296665664e-09
waitress,-0.012924984459639301,1.067709860655788e-08
office,-0.01280672217753569,1.450919300019292e-08
swedish,-0.012798158673927038,1.4833468318576354e-08
save,-0.012748526754254471,1.6856177901263847e-08
opening,-0.01271106636086206,1.85577706363889e-08
liverpool,-0.012623220814947825,2.3228119363619412e-08
stock,-0.012545494694192534,2.829693879414753e-08
scheduler,-0.012499618473182133,3.17762374011318e-08
crossing,-0.012440168297794412,3.690693551921558e-08
residential,-0.01243012784652981,3.7849296622206976e-08
lsa,-0.012371636788460802,4.382084188429522e-08
laboratory,-0.012354363140960906,4.5752601611050145e-08
rouge,-0.012343464831329944,4.701359453402145e-08
street,-0.0122981489300244,5.2627798851844136e-08
hiab,-0.012294149534601,5.315337728187231e-08
paint,-0.012178167394258949,7.081243276344254e-08
book,-0.01217647188788222,7.110865216042236e-08
visitor,-0.012026835160740238,1.0256218085181223e-07
grinder,-0.012020972742823818,1.0403545981205561e-07
conference,-0.012004807657557353,1.0820478851905153e-07
finisher,-0.012004642691738083,1.0824815920675312e-07
nqt,-0.011934743590453179,1.2822184891825105e-07
adviser,-0.011837050666358344,1.6220716932794752e-07
lunchtime,-0.011816782844371949,1.7027669286078008e-07
coach,-0.011750162969365738,1.9962867102307735e-07
brasserie,-0.011704260724527352,2.2263773480147766e-07
telescopic,-0.011696610857232122,2.2671347727778555e-07
enforcement,-0.011693063871253911,2.2862763586201402e-07
career,-0.011690471449502877,2.3003652378007846e-07
wirer,-0.011653178046561834,2.5125639996459207e-07
patrol,-0.011636254218264036,2.6149847837869466e-07
bilingual,-0.011631359743069053,2.6453496282714784e-07
babysitter,-0.011608085513130003,2.7944622359789715e-07
welsh,-0.01160577848061323,2.809677444840522e-07
leaflet,-0.01159576126642464,2.8766753403354016e-07
rta,-0.01155988201497078,3.129537108301175e-07
sorter,-0.01145555917838749,3.99268311393292e-07
homecare,-0.011432434742360961,4.2130048098118003e-07
bricklayer,-0.011415636462801896,4.3803604799478326e-07
spanish,-0.011395475262863797,4.589696191954088e-07
finnish,-0.01134119010130397,5.20243545724041e-07
yard,-0.011300907881506122,5.707346633601559e-07
outreach,-0.011300216285527203,5.716414884140831e-07
coventry,-0.011293967620246911,5.798979936901539e-07
stunning,-0.011284232285493237,5.929910405152427e-07
ltd,-0.011258610036964843,6.288266902524185e-07
carpenter,-0.011112221153906868,8.771779049924046e-07
salon,-0.011105560712018764,8.904772985640581e-07
contact,-0.01108540981666853,9.319069065984711e-07
solderer,-0.01106232457336942,9.816509895564448e-07
coffee,-0.011027243829997948,1.0621679148635118e-06
yha,-0.011024396299178006,1.068975394048918e-06
italian,-0.011020827086952994,1.077567483774192e-06
excavator,-0.011013453474609068,1.0955287961163457e-06
laundry,-0.011004923959764268,1.116665218315381e-06
brake,-0.010960645628170548,1.2328482186028264e-06
lathe,-0.010914035760904535,1.3676839672173449e-06
manual,-0.010875809969758003,1.4887457702027783e-06
k,-0.010748725708462047,1.9697810824775148e-06
enhanced,-0.01073397812532689,2.034431123445193e-06
beater,-0.010691599071449513,2.2317543295502324e-06
tailor,-0.010672483344881554,2.326657920327729e-06
busy,-0.010663846716275752,2.3707958810273003e-06
earner,-0.010663009995090077,2.375114450326362e-06
zero,-0.010653239026888337,2.426107708757786e-06
midday,-0.010622560327721948,2.5931363816721134e-06
year,-0.010607307067191605,2.6802366097612017e-06
industrial,-0.010598363144359434,2.732607434024311e-06
preschool,-0.010592172303153369,2.769431301635571e-06
canvasser,-0.010592002478801776,2.770448117356149e-06
training,-0.010575570383165908,2.8705472164420394e-06
supervisory,-0.01053553545107311,3.129162705230154e-06
merchandiser,-0.010513700550084219,3.279481718755376e-06
groomer,-0.010485821423871828,3.4814982095756345e-06
inn,-0.010478322570469083,3.5378402547407675e-06
banqueting,-0.010474660670733556,3.565670340883916e-06
barista,-0.0104665937093144,3.6277208866754967e-06
decorator,-0.010465944534253077,3.632759056946936e-06
deafblind,-0.010460799026952114,3.672930716738829e-06
multilingual,-0.010425262925581102,3.962221103637172e-06
meter,-0.010406018758181949,4.127871973459929e-06
sia,-0.010398025978584732,4.198605643242537e-06
loader,-0.010388913994397349,4.280660747610515e-06
reprographics,-0.01038326130323244,4.33233420281146e-06
health,-0.010368019162366697,4.47466411770777e-06
paid,-0.010362657737844228,4.525785428092568e-06
concierge,-0.010362175189024436,4.530413888211276e-06
wood,-0.010353626413297075,4.613166775422865e-06
tele,-0.01034897941494429,4.6587556047471285e-06
vna,-0.010329912353315152,4.850369181010901e-06
rep,-0.010326408660002106,4.886390708789363e-06
vocational,-0.010295853266261307,5.2115789577665724e-06
banksman,-0.010280798740267676,5.379320548609881e-06
supported,-0.010264104981500814,5.5713688739271985e-06
taker,-0.0102285310665024,6.002747965611799e-06
rang,-0.010222969646979024,6.073011940201222e-06
instore,-0.010214941030650949,6.175836668379945e-06
door,-0.010182205417690503,6.612596645643337e-06
nil,-0.010166576065529745,6.831401332137872e-06
import,-0.010166213665973575,6.836556025112539e-06
higher,-0.0101527595996741,7.030578496757057e-06
indian,-0.010100844702451633,7.829778761204153e-06
baker,-0.010090612092232758,7.997233075524848e-06
student,-0.010079586335834867,8.181497288564816e-06
semisenior,-0.010076411298176388,8.235307160485736e-06
upon,-0.010072661705361908,8.2992901488311e-06
adr,-0.010068424917182817,8.372158368941991e-06
award,-0.010042506973299075,8.83140840868014e-06
luxury,-0.010036728891991248,8.937025004145883e-06
employability,-0.01003000671940442,9.061417424940982e-06
white,-0.010020383943542578,9.242367424619254e-06
promotion,-0.010018825498099997,9.271995890277528e-06
fundraising,-0.01000688343586816,9.502063973197257e-06
janitor,-0.010000765458088827,9.622031631098965e-06
retail,-0.009986409881292421,9.909237288743375e-06
near,-0.009983361767423985,9.971264649586539e-06
distributor,-0.00997844307940765,1.0072139835278483e-05
st,-0.00997361181508111,1.0172170445480967e-05
mother,-0.00991665692750865,1.1425262089753781e-05
bolton,-0.00990858331973781,1.161439554100456e-05
autism,-0.009901854739338644,1.1774299767728042e-05
aat,-0.00987691822347569,1.2385433401487935e-05
demonstrator,-0.009874779663128398,1.2439230685542904e-05
driving,-0.00987017023562532,1.2555943965933785e-05
newcastle,-0.009860415800313875,1.2806386494364349e-05
input,-0.009835983243033608,1.345477618229593e-05
dispatch,-0.009822352469683113,1.3829996342769755e-05
healthcare,-0.009805376136834305,1.4311277545253172e-05
recreation,-0.009788578153489377,1.480319731366938e-05
karate,-0.009780944699946252,1.503202885799821e-05
seo,-0.009758727807053183,1.5717384729729695e-05
fee,-0.009748633289060607,1.6038533605400237e-05
chester,-0.00974144009580442,1.6271185439540243e-05
receivable,-0.00973916932549892,1.6345295282738118e-05
grooming,-0.009721931629924385,1.6918455751395258e-05
plus,-0.00971970774089593,1.6993781019395694e-05
purchasing,-0.009707571653504419,1.7410505259170285e-05
hlta,-0.009703201969282314,1.756292004728657e-05
mini,-0.009670638522775799,1.873944066847598e-05
valeter,-0.00960393161544609,2.1388138341819567e-05
phd,-0.009598133282976963,2.1634488696226352e-05
liaison,-0.009589549049994029,2.2004166795985984e-05
op,-0.009541990676561229,2.4163655257854733e-05
hairdresser,-0.009502440552997794,2.6111620833968125e-05
disability,-0.009473771517004346,2.7616063325418807e-05
dealership,-0.009471351861116492,2.7746740860957596e-05
wigan,-0.009471305527827854,2.7749248895315645e-05
plumber,-0.009439371312937277,2.9530091156725997e-05
despatch,-0.009435852584729253,2.973283013011943e-05
hilton,-0.009428833556932378,3.0141204455532262e-05
switchboard,-0.00939253159231583,3.2339777201039796e-05
modern,-0.00934453838352518,3.5481032992013494e-05
recovery,-0.009332778692374491,3.629379155290156e-05
post,-0.009330059971681405,3.648419291214762e-05
fire,-0.009297882705072655,3.881092641365239e-05
mentor,-0.00924394960580163,4.30296716019588e-05
hair,-0.009243560652202219,4.306161980431824e-05
tour,-0.009238837123868214,4.3451405317971475e-05
exec,-0.009219121373910491,4.511478051513526e-05
bradford,-0.009208214869151455,4.606070191406127e-05
escort,-0.009192614603084943,4.744645546301531e-05
purchaser,-0.00919020803216023,4.7663716023642796e-05
upholsterer,-0.009164370431956698,5.005648836428376e-05
stage,-0.009156453367439981,5.081217311829056e-05
living,-0.009144046606049571,5.201818664801162e-05
ebd,-0.009131453091666221,5.327006397248238e-05
telemarketers,-0.009120774323619105,5.435391739780624e-05
pcv,-0.009117780142446952,5.466154537834203e-05
friday,-0.009096756158465889,5.686850178606761e-05
placement,-0.009078149782680421,5.889182897869928e-05
alarm,-0.009075825531852206,5.91493142888875e-05
pest,-0.009065480325603347,6.030836517960841e-05
topshop,-0.009064762607709859,6.038956913956505e-05
stockport,-0.009061403518112014,6.077100096376712e-05
accommodation,-0.009047087083411403,6.242238911361197e-05
tig,-0.009024832569977409,6.507402454822425e-05
monday,-0.009012414826183857,6.659958620037678e-05
chesterfield,-0.009007749055939259,6.718149080459179e-05
bodyshop,-0.00900466812638636,6.756837140231079e-05
golf,-0.008992955707413961,6.905845824149847e-05
allocator,-0.008989509970217082,6.950271948809542e-05
mental,-0.00892743689178026,7.798405360516817e-05
telehandler,-0.0089124062915646,8.018017632725389e-05
king,-0.008903546073899515,8.150199766177577e-05
winchester,-0.008901198015250501,8.18557324820611e-05
l,-0.008859011435074046,8.846375678634463e-05
butcher,-0.008848298182615112,9.022038143973307e-05
inside,-0.008840819762803835,9.146607088966176e-05
taqa,-0.008833361954350631,9.272449262757297e-05
scheme,-0.00881813756818516,9.534437410972853e-05
winning,-0.00879873935286333,9.878384613557062e-05
young,-0.008790075110099124,0.00010035764095768804
ton,-0.00878517241294298,0.00010125863427109391
first,-0.008768165634328537,0.00010444359197865704
russian,-0.008766328559567275,0.00010479323355010007
sheffield,-0.008754223160931218,0.00010712496335640341
stratford,-0.008726357663048299,0.00011267977883339811
bath,-0.008716395429120264,0.00011473079880534645
freight,-0.008671138326593329,0.00012449959749178785
dedicated,-0.008669179260442743,0.00012493968068910007
fine,-0.008638898174070073,0.000131931279868175
cruise,-0.00862979158697932,0.0001341049726454648
slinger,-0.008627972816415088,0.0001345431264845661
salisbury,-0.008621782295732279,0.00013604459306980083
floating,-0.008594560875540887,0.00014283623720855594
onsite,-0.008572331166371797,0.00014861801125310226
seamstress,-0.00856191421127643,0.00015140255548974795
enquiry,-0.008551497844020827,0.00015423599842978648
qcf,-0.008526663135312926,0.00016119415392743216
classroom,-0.008524356459291843,0.0001618552128530869
huddersfield,-0.00852418758290016,0.00016190371039140323
meeting,-0.008516742581009571,0.00016405538862806552
beauty,-0.008502691653919956,0.00016818974038790676
dental,-0.008497032251659833,0.00016988249269054526
manor,-0.008491027065530406,0.0001716961868392832
guest,-0.00848209792772341,0.00017442667841226092
handyman,-0.008474372704543594,0.00017682191553095752
lounge,-0.008472505608519776,0.00017740543953802582
wage,-0.008466188651950382,0.0001793931345268232
reservationist,-0.008457707923557666,0.0001820946244331169
franchised,-0.008455128647396021,0.00018292379402020452
play,-0.008445759439592767,0.0001859657094249675
tipping,-0.008441397806546916,0.0001873979704190854
wolverhampton,-0.008432570173727977,0.00019032855082649368
rn,-0.008426953107863153,0.00019221565877539242
photographer,-0.008426422691472278,0.0001923947630347042
packing,-0.008387374055599566,0.00020601954744851026
beautician,-0.008379121968219013,0.00020901254690732112
leicester,-0.008373970848498535,0.00021090148876184655
booking,-0.008368211213395493,0.0002130325565031832
delegate,-0.008335556092962021,0.00022550232197404019
norwich,-0.008325455075962948,0.00022949619144274993
childminder,-0.008310932912068306,0.00023535461559632612
looking,-0.008310137124589643,0.00023567966759144093
sheet,-0.008292196599377367,0.00024312051623234741
printer,-0.00829101279332273,0.00024361917148546622
parcel,-0.008269900564641159,0.0002526750230665918
tailormade,-0.00826960307031963,0.0002528048569003248
chichester,-0.008260759573402214,0.0002566930708461094
borer,-0.008245829317766087,0.00026338496505356616
bluh,-0.008223658475331467,0.0002736245325670137
graphic,-0.008222952954277373,0.0002739564215570095
creche,-0.008209104383068983,0.00028054790333560496
chemist,-0.008185869831844526,0.0002919416935859043
guide,-0.008177952863597866,0.00029592203757209366
tyre,-0.008172631815299529,0.00029862575463502066
semiskilled,-0.008170324351020164,0.0002998053942191417
patroller,-0.00814942156996162,0.0003106920867075107
cctv,-0.008141281915801418,0.00031503069129358764
recycling,-0.00813841917321262,0.0003165700273145983
spare,-0.008133206742881337,0.0003193909197301209
playworker,-0.008124969223768022,0.00032389696484890043
ward,-0.008123371243158001,0.00032477794600405075
baby,-0.008111284679898328,0.00033151437031612215
banbury,-0.00810972983353187,0.0003323903915024282
carluccio,-0.008102285582830965,0.0003366146750254125
country,-0.008101386605677722,0.00033712819042276503
worldwide,-0.008094418810787495,0.00034113327495321604
specta,-0.008070071191189746,0.00035548051298744113
dispatcher,-0.008068111528823297,0.0003566594815479698
garden,-0.008047493497455482,0.0003692872608257629
repairer,-0.008025294420548263,0.0003833499554002065
taunton,-0.008021957998242357,0.00038550627901905464
adminstrator,-0.008016239020926453,0.0003892288316549382
